app_id;Qtd_Loads;Qtd_Stores;Qtd_Joins;Qtd_ApplyMaps;Qtd_Residents;Qtd_Ifs;Qtd_Fors;Qtd_Whiles
01. RATEIO;76;7;116;0;60;98;59;0
01.Extrator_Diarização - por canal;27;50;158;85;147;210;19;0
1.Sintetiza_Mudança_Expansão;1;2;10;0;12;7;12;1
2- Transformador Gera Vendas;98;28;140;0;70;240;24;1
02. EXTRATOR_ACORDO_GCP;3;10;0;0;1;1;10;0
02.Extrator_Diarização_Loja;27;51;158;75;147;212;19;0
3- Extrator apuracao contratos App;31;44;12;0;32;18;46;4
03. Extrator_Diarização_ajustemeta_Gustavo;0;3;8;5;11;11;12;0
03. Extrator_Diarização_ajustemeta;0;3;12;7;11;11;12;0
4- Extrator apuracao contratos Pack Ecom;203;56;168;14;182;471;346;15
04.Classificacao_Meta;4;669;1456;0;1377;2227;658;21
5- Extrator apuracao contratos Rebaixa Ecom;203;56;168;14;182;471;346;15
6- Extrator apuracao contratos Pack Loja;43;57;282;0;1625;12281;1448;1
7- Extrator apuracao contratos Rebaixa Loja;43;43;30;0;4517;37388;4529;1
8- Extrator Fixo;5;2;24;0;936;4013;924;0
14. AJUSTE_INVENTARIO;254;7;10;0;7;4;10;1
17 AJUSTES_FISCAIS;16;5;20;0;17;1;10;0
18. OUTROS_AJUSTES;7;4;8;0;15;8;14;0
19. BAIXA_POR_ERRO;1;1;0;0;0;2;10;0
20. DESCONTO;3;3;6;0;12;1;13;0
23. INTEGRADOR_DIM_VENDA;10;5;34;0;4;62;17;2
Analise Etiquetas;6;1;4;0;2;7;23;0
Analise_Inventario;1497;0;2;0;3;4668;31;2
Analise_Produtividade;4663;0;4;0;5;7;10;1
Aplicativo Cluster Pop_v2;7;0;0;0;0;2;10;0
Apuracao Contrato Diaria;3;0;2;0;1;615;160;5
Apuracao Venda Pack_v2;3;0;2;0;1;229;13;5
Armazenamento;106;2;25;2;23;145;22;2
Arvore;18;1;6;0;2;23;23;0
Atributo_Item;29;0;78;0;34;1485;287551;0
Auditar_Estoque;62;3;14;1;9;296;43;0
Base_RDF_TXT;0;0;0;0;0;1;10;0
Black_Friday - Fechamento;77;1;20;0;6;276;23;1
Brigada de validade;79;1;10;0;10;167;11;0
Caderno_DRE_NovaVersao;36;0;12;8;23;40;44;0
Caderno_DRE;0;0;4;0;8;9;161;1
Cockpit - Compras_DPSP - Copy;741;9;108;2;85;324;634;4
Cockpit - Compras_DPSP;846;10;120;2;89;326;658;4
Cockpit_Nprinting;229;1;18;1;76;236;14;0
ComposicaoCaixa;325;0;0;0;110;764;10;1
Consulta_Balcao;82;0;0;0;1;7;25;1
Consulta_Cartoes;329;5;0;0;6;488;105;0
Coordernação_Farmacêutica;2;0;10;0;8;8;11;0
CRM_TRANSAÇÃO_v2.QVW.log;73;9;86;0;47;33;113;2
DataHub vs Transaction - Copy (2);0;0;0;0;0;1;10;0
DataHub vs Transaction;4957;222;4644;0;2211;938;154;2
Envio Fornecedor;1;1;0;0;0;1;20;0
Envio_Boletim_Margem;0;1;16;0;35;127;10;0
Envio_Itens_PBM_CLOUD;1;1;0;0;0;1;10;1
Extr_Transformador_Flash_Venda_24;1;3;8;1;6;5;11;0
Extr_Transformador_Flash_Vendas Hora;1;4;8;1;5;5;12;0
Extracao_Emin;4301;3;0;0;0;1;11;0
Extracao_Financeiro;0;0;0;0;0;1;10;0
Extracao_Separacao;2;1;0;0;0;1;10;0
Extrator - Atualizacao em massa - Demandas_V3;1;0;0;0;0;7;10;0
Extrator apuracao contratos App;57;31;12;0;114;144;49;4
Extrator apuracao contratos Pack Ecom;104;4;110;1;2545;106;67;2
Extrator apuracao contratos Pack Loja_v3;81;21;24;0;1264;5402;721;2
Extrator apuracao contratos Rebaixa Ecom New;256;4;262;1;5131;258;143;2
Extrator apuracao contratos Rebaixa Loja;94;20;8;0;3769;8983;1178;2
Extrator Cria_Margem_Aggr_MES_YTD;2;6;8;0;6;9;27;0
Extrator Cria_Margem_Aggr_MES;1;3;4;0;2;5;16;0
Extrator CRM - Campanhas CRM v2.1;10;2;2;0;0;23;14;0
Extrator CRM - Filipetas;10;7;0;2;0;9;14;0
Extrator CRM - Mídias Digitais;2;2;2;0;2;8;17;0
Extrator CRM - Ticket Médio Nível 2;70;2;14;0;2;1;11;0
Extrator Pack Virtual;1;0;0;0;0;1;10;0
Extrator Relação de Lojas;19;15;34;0;7;49;30;0
Extrator Self Cupons;49;45;180;150;90;346;56;0
Extrator Tabloide;2;0;0;1;2;1;12;0
Extrator Venda Promoção;86;24;12;0;12;676;17;2
Extrator_Agenda;0;2;0;0;0;3;13;0
Extrator_Ajuste_Inventario;28;1;84;0;43;14;13;0
